Name	Set	ImageFile	Class	Level	Attack	HP	Type	Type2	Text	 Text2 	 Text3 	Rarity	Number
Stun	Set2	stun	Thief	60	 	 	Tactic	Strategy	For each Thief card under your character, your opponent chooses and discards a card from his or her hand.	 OS: Loot -- If your opponent has 3 or more cards in hand, he or she chooses one and discards it. 	   	U	2042
Tortie	Set2	tortie	Thief	46	30	30	Monster	Turtle	Tough -- Character actions don't damage Tortie.	 OS: Rant -- Choose an action on a card under your opponent's character. Your opponent can't use that action next turn. 	   	C	2043
Ward Of Awakening	Set2	wardofawakening	Thief	50	 	 	Tactic	Strategy	Play a tactic from any discard pile. Then return it to that discard pile.	 60TT Spawn / Think Fast 70 -- Play a monster or tactic of level 70 or less. 	   	R	2044
Zombie Mushmom	Set2	zombiemushmom	Thief	76	50	140	Monster	Boss	Rise From the Grave -- When Zombie Mushmom is destroyed, play rock-paper-scissors with your opponent. If you win, return it to play with 70 HP.	   	   	U	2045
Bruno	Set2	bruno	Warrior		 	220	Character	Spearman	10W Bash -- Do 10 damage to a character or monster.	 20 Quest -- Draw a card. 	 50WWW Bloodthirsty -- Destroy a card under your character. If you do , one of your monsters that attacks this turn gets Fierce until end of turn. 	U	2046
Bubbling	Set2	bubbling	Warrior	12	10	30	Monster	Goo	Ooze -- Whenever Bubbling is damaged prevent all other damage to it this turn.	 50W Spawn 60 -- Play a monster of level 60 or less. 	   	C	2047
Dark Yeti and Pepe	Set2	darkyetipepe	Warrior	82	50	70	Monster	Dark Ice-Bird Beast	Split-- When Dark Yeti and Pepe is destroyed, you may search your deck for the card Yeti or the card Pepe and play it. Then shuffle your deck.	 70WWW Spawn / Equip 90 -- Play a monster or item of level 90 or less. 	   	R	2048
Devil Slime	Set2	devilslime	Warrior	23	10	20	Monster	Goo	Vanish -- When Devil Slime is destroyed level up with it, but you don't get the +HP for leveling up.	 20W Spawn 30 -- Play a monster of level 30 or less. 	   	U	2049
Iron Boar	Set2	ironboar	Warrior	45	30	50	Monster	Boar	Leader 20 -- Each of your other Boars gets +20 attack and +20 Hp.	 20W Boar Buff -- One Boar that attacks this turn gets +30 attack until the end of the turn. 	   	R	2050
Iron Hog	Set2	ironhog	Warrior	42	20	60	Monster	Boar	 	 OS: Warrior Prowess -- Play a Warrior card of your level or less. 	   	C	2051
Jr. Pepe	Set2	jrpepe	Warrior	35	10	50	Monster	Ice Bird	Ice Slide -- Whenever Jr. Pepe is damaged, prevent all other damage to it this turn.	 50WWW Spawn X -- Play a monster of your level or less. 	   	R	2052
King Slime	Set2	kingslime	Warrior	40	20	60	Monster	Boss	Split-- When King Slime is destroyed, you may search your deck for a Goo monster and play it. Then shuffle your deck.	 40WW Shock Wave -- King Slime does 10 damage to each of your opponent's monsters. Then King Slime does 10 damage to your opponent's character. 	   	U	2053
Manon	Set2	manon	Warrior	105	60	160	Monster	Boss	70WW Minion Attack -- Reveal the top 2 cards of your deck. Play any monsters revealed this way and discard any others. Destroy monsters played this way at end of turn.	   	   	R	2054
Power Guard	Set2	powerguard	Warrior	30	 	 	Tactic	Skill	Choose a monster and prevent all damages to it next turn.	 60W Spawn / Think Fast 70 -- Play a monster or tactic of level 70 or less. 	   	C	2055
Rage	Set2	rage	Warrior	30	 	 	Tactic	Skill	For each Warrior card under your character, one of your monsters that attacks this turn gets +10 attack until end of turn.	 OS: Astonish -- Name a card. Reveal the top card of your deck. If you named that card, level up with it. 	   	U	2056
Raging Block Golem	Set2	ragingblockgolem	Warrior	42	20	40	Monster	Guardian	Fierce -- Raging Block Golem attacks twice each turn.	 OS: Scout -- Reveal the top card of your deck. If it's a monster card, put it into your hand. Otherwise put it back. 	   	C	2057
Silver Legend Shield	Set2	silverlegendshield	Warrior	60	 	 	Item	Armor	Whenever one of your monsters is destroyed, level up with it.	 60WW Bloodthirsty -- Destroy a card under your character. If you do, one of your monsters that attacks this turn gets Fierce until end of turn. 	   	R	2058
Training	Set2	training	Warrior	30	 	 	Tactic	Strategy	Level up with the top card of your deck.	 70WW Spawn 120 -- Play a monster of level 120 or less. 	   	C	2059
Yeti	Set2	yeti	Warrior	70	40	70	Monster	Ice Beast	Ground Pound -- Yeti gets +40 attack if you didn't play it this turn.	 70WW Spawn / Equip 80 -- Play a monster or item of level 80 or less. 	   	U	2060
Black Bunny	Set3	blackbunny	Bowman	10	 	 	Item	Pet Rabbit	Hungry -- When your turn starts, put the top card of your deck face down under this Pet. (A Pet can have up to 3 cards under it.) Populate -- When Black Bunny has 3 cards under it, reveal them. You may play any Bowman monsters of level 30 or less revealed this way. Otherwise, put them on the bottom of your deck in any order.	20B Easy Shot -- Do 10 damage to a character or monster.	 	U	3001
Blessing of the Amazon	Set3	blessingoftheamazon	Bowman	10	 	 	Tactic	Skill	Do 40 damage to a character or monster. This damage can't be prevented.	OS: Perfect Aim -- Damage you do with character actions can't be prevented this turn.	 	C	3002
Chirppy	Set3	chirppy	Bowman	31	20	40	Monster	Flying Bird	Stealthy -- Monsters can't attack Chirppy.	20BB Easy Shot -- Do 10 damage to a character or monster.	 	C	3003
Cold Eye	Set3	coldeye	Bowman	40	30	30	Monster	Ice Worm	Ice Breath -- When you play Cold Eye, one of your opponent's monsters loses its abilities until your next turn starts. Do 20 damage to that monster.	60BB Spawn / Think Fast 60 -- Play a monster or tactic of level 60 or less.	 	U	3004
Crow	Set3	crow	Bowman	25	10	20	Monster	Flying Bird	Peck -- Whenever your opponent levels up, do 20 damage to a character or monster.	50B Spawn / Equip 40 -- Play a monster or item of level 40 or less.	 	C	3005
Flyeye	Set3	flyeye	Bowman	41	40	30	Monster	Flying Beast	Stupefy -- When you play Flyeye, your opponent can't play tactics next turn.	80BBB Deadly Shot -- Do 30 damage to a character or monster.	 	R	3006
Flying Freezer	Set3	flyingfreezer	Bowman	120	100	100	Monster	Summoned Flying Ice Bird	Freeze -- When you play Flying Freezer, choose up to 4 of your opponent's monsters. They can't attack next turn. Summoned -- When your turn ends, destroy Flying Freezer if you didn't play it this turn.	70BB Command -- Return this card to your hand. Then level up with the top card of your deck.	 	R	3007
Ghost Pixie	Set3	ghostpixie	Bowman	65	50	40	Monster	Flying Spook	Phantom -- When you play Ghost Pixie, choose a card type (character, monster, tactic, or item). Cards of the chosen type can't damage Ghost Pixie.	OS: Revive -- Return a monster of level 30 or less from your discard pile to your hand.	 	R	3008
Ginseng Jar	Set3	ginsengjar	Bowman	48	40	40	Monster	Flora Jar	 	60BB Tricky Shot -- Do 20 damage to a character or monster.	 	C	3009
Maple Shield	Set3	mapleshield	Bowman	20	 	 	Item	Shield	Each of your monsters gets +10 HP.	50B Spawn 50 -- Play a monster of level 50 or less.	 	C	3010
Moby	Set3	moby	Bowman	 	 	190	Character	Crossbowman	10B Easy Shot -- Do 10 damage to a character or monster.	20 Quest -- Draw a card.	20BB Spawn 30 -- Play a monster of level 30 or less.	U	3011
Mortal Blow	Set3	mortalblow	Bowman	90	 	 	Tactic	Skill	When your turn ends, do damage to your opponent's character equal to the total damage he or she took this turn.	80B Spawn / Equip 90 -- Play a monster or item of level 90 or less.	 	R	3012
Nependeath	Set3	nependeath	Bowman	42	20	80	Monster	Flora	Rooted -- Nependeath can't attack characters.	70BB Spawn 90 -- Play a monster of level 90 or less.	 	U	3013
Rookie Knock-Back	Set3	rookieknockback	Bowman	40	 	 	Tactic	Skill	Choose a monster. That monster can't attack your character next turn. Draw a card.	10B Spawn 20 -- Play a monster of level 20 or less.	 	U	3014
Ryden	Set3	ryden	Bowman	30	 	 	Item	Weapon	When your turn ends, for each monster you have of level 30 or less, do 10 damage to a character or monster.	OS: Critical Shot -- Flip a coin. If you win, do damage equal to your level to a character or monster.	 	R	3015
Bahamut	Set3	bahamut	Magician	120	50	100	Monster	Summoned Flying Dragon	Mega Fierce -- Bahamut attacks 3 times each turn. Summoned -- When your turn ends, destroy Bahamut if you didn't play it this turn.	70MM Command -- Return this card to your hand. Then level up with the top card of your deck.	 	R	3016
Brown Teddy	Set3	brownteddy	Magician	30	20	30	Monster	Toy Bear	Wind the Key -- Whenever you play a tactic, Brown Teddy gets +20 attack until end of turn.	80MM Spawn 120 -- Play a monster of level 120 or less.	 	C	3017
Cold Beam	Set3	coldbeam	Magician	35	 	 	Tactic	Skill	Your opponent's monsters each get -30 attack until your next turn starts.	30MM Spawn / Think Fast 30 -- Play a monster or tactic of level 30 or less.	 	U	3018
Emerald Staff	Set3	emeraldstaff	Magician	15	 	 	Item	Staff	Whenever you play a tactic, get +10 HP.	OS: Grudge -- If you're a lower level than your opponent, you may level up with a card from your discard pile.	 	U	3019
Ergoth	Set3	ergoth	Magician	115	50	190	Monster	Boss	70MMM Deadly Wisdom -- Reveal the top 3 cards of your deck. If any of them are tactics, you may play them. Otherwise, put them on the bottom of your deck in any order.	120MMM Reaper's Knock -- Reduce your opponent's HP to 10. Your turn ends.	 	R	3020
Invincible	Set3	invincible	Magician	65	 	 	Tactic	Skill	Prevent the first 100 damage that would be done to your character next turn.	90MMM Think Fast Unlimited -- Play a tactic.	 	R	3021
Penelope	Set3	penelope	Magician	 	 	180	Character	Fire/Poison Mage	10 Quest -- Draw a card.	60MM Quest -- Draw a card.	 	R	3022
Porcupine	Set3	porcupine	Magician	30	 	 	Item	Pet Porcupine	Hungry -- When your turn starts, put the top card of your deck face down under this Pet. (A Pet can have up to 3 cards under it.) Quillspray -- Whenever your turn starts, you may put the cards under Porcupine on the bottom of your deck in any order. For each card you put under your deck this way, do 10 damage to each of your opponent's monsters and then to your opponent's character.	40M Quill Attack -- Choose a character. For each pet you have, do 10 damage to that character.	 	R	3023
Robot	Set3	robot	Magician	20	 	 	Item	Pet Robot	Hungry -- When your turn starts, put the top card of your deck face down under this Pet. (A Pet can have up to 3 cards under it.) 	OS: Quest -- Draw a card.	 	U	3024
Rookie Energy Bolt	Set3	rookieenergybolt	Magician	30	 	 	Tactic	Skill	Do 70 damage to a character or monster. 	40MMM Think Fast X -- Play a tactic of your level or less.	 	C	3025
Rookie Magic Claw	Set3	rookiemagicclaw	Magician	10	 	 	Tactic	Skill	Do 10 damage to a character or monster. Then do another 10 damage to a character or monster. Draw a card.	10M Zap -- Do 10 damage to a character.	 	C	3026
Seal	Set3	seal	Magician	40	 	 	Tactic	Skill	Remove a monster from the game until your next turn starts.	80M Think Fast / Equip 90 -- Play a tactic or item of level 90 or less.	 	U	3027
Spell Booster	Set3	spellbooster	Magician	30	 	 	Tactic	Skill	Draw 2 cards. Then put a chard from your hand face down on top of your deck.	50MM Spawn / Equip 40 -- Play a monster or item of level 40 or less.	 	U	3028
Sr. Bellflower Root	Set3	srbellflowerroot	Magician	54	50	50	Monster	Flora	 	60M Spawn 60 -- Play a monster of level 60 or less.	 	C	3029
White Fang	Set3	whitefang	Magician	58	40	40	Monster	Wolf	Pet Defender -- White Fang gets +30 attack and +30 HP as long as you have a pet.	30M Spawn / Equip 20 -- Play a monster or item of level 20 or less.	 	C	3030
Black Dragon	Set3	blackdragon	Thief	20	 	 	Item	Pet Dragon	Hungry -- When your turn starts, put the top card of your deck face down under this Pet. (A Pet can have up to 3 cards under it.) Morph -- When your turn starts, you may put 3 cards from under Black Dragon on the bottom of your deck in any order. If you do, it becomes a monster with 90 attack and 120 HP until your next turn starts.	10T Feeding Time -- If one of your Pets has fewer than 3 cards under it, put the top card of your deck face down under that Pet.	 	R	3031
Blood Larceny	Set3	bloodlarceny	Thief	80	 	 	Item	Armor	When your opponent's turn ends, flip two coins. If you win both flips, take another turn after this one.	90TTT Equip Unlimited -- Play an item.	 	R	3032
Brown Kitty	Set3	brownkitty	Thief	10	 	 	Item	Pet Kitty	Hungry -- When your turn starts, put the top card of your deck face down under this Pet. (A Pet can have up to 3 cards under it.) Cat's Meow -- When Brown Kitty has 3 cards under it, look at them. Put 1 card into your hand and the others on the bottom of your deck in any order.	40TTT Crafty -- Play a Thief card of your level or less.	 	U	3033
Call of the Wild	Set3	callofthewild	Thief	40	 	 	Tactic	Strategy	If you have a monster, destroy 1 of your opponent's monsters. If you have an item, destroy 1 of your opponent's items.	OS: Loot -- If your opponent has 3 or more cards in hand, he or she chooses one and discards it.	 	C	3034
Captain	Set3	captain	Thief	70	70	40	Monster	Water Scoundrel	Tough -- Character actions don't damage Captain.	70TT Slash -- Do 20 damage to a character or monster.	 	U	3035
Destroy All Monsters	Set3	destroyallmonsters	Thief	60	 	 	Tactic	Strategy	Destroy all monsters.	OS: Super Spy -- Draw 2 cards. Then discard all but 2 cards from your hand.	 	R	3036
Disorder	Set3	disorder	Thief	35	 	 	Tactic	Skill	Destroy up to 2 monsters that have attack 30 or less.	OS: Pilfer -- Return an item card from your discard pile to your hand.	 	U	3037
Halfmoon Zamadar	Set3	halfmoonzamadar	Thief	32	 	 	Item	Weapon	Get +20 on damage you do with one of your character actions each turn.	20TT Stab -- Do 10 damage to a character or monster.	 	C	3038
Keaton	Set3	keaton	Thief	 	 	200	Character	Hermit	20 Quest -- Draw a card.	20T Equip 30 -- Play an item of level 30 or less.	50T Feeding Frenzy -- Put cards from the top of your deck face down under one of your Pets until that Pet has 3 cards under it.	U	3039
Kru	Set3	kru	Thief	68	60	50	Monster	Water Scoundrel	Loot -- If your opponent has 3 or more cards in hand, he or she chooses one and discards it.	60TT Spawn 70 -- Play a monster of level 70 or less.	 	C	3040
Lord Pirate	Set3	lordpirate	Thief	70	30	120	Monster	Boss	70TT Hook -- Lord Pirate does 30 damage to a character or monster.	80TTT Kidnap -- Remove one of your opponent's monsters or items from the game. When Lord Pirate is destroyed, return that card to its player's hand.	 	R	3041
Mini Yeti	Set3	miniyeti	Thief	30	 	 	Item	Pet Beast	Hungry -- When your turn starts, put the top card of your deck face down under this Pet. (A Pet can have up to 3 cards under it.) Auto-loot -- When Mini Yeti has 3 cards under it, reveal them. You may play 1 item revealed this way and put the others on the bottom of your deck in any order.	OS: Get Treasure -- When your turn ends, draw a card for each monster you destroyed this turn.	 	U	3042
Pinboom	Set3	pinboom	Thief	22	0	10	Monster	Water Flora	Rooted -- Pinboom can't attack characters. Spike Burst -- When Pinboom is destroyed, do 40 damage to a character or monster.	40T Spawn / Equip 30 -- Play a monster or item of level 30 or less.	 	C	3043
Squid	Set3	squid	Thief	94	80	90	Monster	Water-Fish Beast	Toxic Ink Cloud -- Whenever your opponent does a character action, do 10 damage to that character. This damage can't be prevented.	OS: Rouge's Revenge -- If you have 3 or more Thief cards under your character, destroy a non-Boss monster.	 	R	3044
Zombie Mushroom	Set3	zombiemushroom	Thief	24	40	10	Monster	Undead Mushroom	 	50T Spawn / Think Fast 40 -- Play a monster or tactic of level 40 or less.	 	C	3045
Bain	Set3	bain	Warrior	90	60	80	Monster	Dog	Flame Bark -- When you play Bain, do +40 damage to one of your opponent's monsters. If this damage destroys that monster, Bain gets +40 attack this turn.	70WW Smash -- Do 30 damage to a monster.	 	R	3046
Battle Fury	Set3	battlefury	Warrior	20	 	 	Tactic	Strategy	One of your monsters gets Fierce this turn. (It attacks twice this turn.)	60WW Think Fast / Equip 50 -- Play a tactic of level 50 or less.	 	C	3047
Beetle	Set3	beetle	Warrior	72	50	60	Monster	Pest	Chitin -- Whenever Beetle would be damaged, prevent 10 of that damage.	20W Spawn 30 -- Play a monster of level 30 or less.	 	C	3048
Blocktopus	Set3	bloctopus	Warrior	35	20	30	Monster	Toy Guardian	Escape -- If your opponent makes you discard Bloctopus, you may play it instead of putting it into your discard pile.	OS: Scout -- Reveal the top card of your deck. If it's a monster card, put it into your hand. Otherwise, put it back.	 	U	3049
Fire Tusk	Set3	firetusk	Warrior	36	30	30	Monster	Elephant	Relentless 10 -- Whenever Fire Tusk destroys a monster, do 10 damage to your opponent's character.	80WW Spawn / Equip 120 -- Play a monster or item of level 120 or less.	 	C	3050
Green Cornian	Set3	greencornian	Warrior	100	70	100	Monster	Dragon Beast	Relentless 70 -- Whenever Green Cornian destroys a monster, do 70 damage to your opponent's character.	OS: Revive Dragon -- Return a Dragon from your discard pile to your hand.	 	R	3051
Jr. Cerebes	Set3	jrcerebes	Warrior	43	30	50	Monster	Dog	 	OS: Crush -- Do 20 damage to a monster.	 	C	3052
Kiri Viva	Set3	kiriviva	Warrior	 	 	240	Character	Knight	20 Quest -- Draw a card.	30WW Gear Up -- Play an Armor, Shield, or Weapon of your level or less. 	40W Spawn 50 -- Play a monster of level 50 or less.	R	3053
Pet Jr. Balrog	Set3	petjrbalrog	Warrior	30	 	 	Item	Pet Balrog	Hungry -- When your turn starts, put the top card of your deck face down under this Pet. (A Pet can have up to 3 cards under it.) Flog -- Whenever one of your monsters attacks, you may put 1 card at random from under Pet Jr. Balrog into your discard pile. If that card was a monster, add its attack value to the monster's attack this turn.	90WWW Spawn Unlimited -- Play a monster.	 	R	3054
Pet Panda	Set3	petpanda	Warrior	20	 	 	Item	Pet Bear	Hungry -- When your turn starts, put the top card of your deck face down under this Pet. (A Pet can have up to 3 cards under it.) Friendly -- When Pet Panda has 3 cards under it, reveal them. You may play 1 non-Boss monster revealed this way and put the others on the bottom of your deck in any order.	OS: Drink Potion -- You get +HP equal to your level.	 	U	3055
Pig	Set3	pig	Warrior	7	10	20	Monster	Boar	Delicious -- When Pig is destroyed, put 1 card from the top of your deck face down under each of your Pets that has fewer than 3 cards under it.	60WW Spawn 80 -- Play a monster of level 80 or less.	 	U	3056
Puppy	Set3	puppy	Warrior	10	 	 	Item	Pet Dog	Hungry -- When your turn starts, put the top card of your deck face down under this Pet. (A Pet can have up to 3 cards under it.) Dog's Life -- When Puppy has 3 cards under it, get +30 HP and put those cards on the bottom of your deck in any order	40WW Spawn 50 -- Play a monster of level 50 or less.	 	C	3057
Red Slime	Set3	redslime	Warrior	55	60	70	Monster	Goo	Splatter -- When you play Red Slime, flip a coin. If you lose, return it to your hand, and you can't play another Red Slime this turn.	20WW Misplace -- Destroy this card. Then destroy an item.	 	U	3058
Ruin	Set3	ruin	Warrior	50	 	 	Tactic	Strategy	Destroy up to 2 items.	40W Think Fast 40 -- Play a tactic of level 40 or less.	 	U	3059
Watch Hog	Set3	watchhog	Warrior	70	 	 	Item	Boar Mount	Once a turn, you may prevent all damage from a character action, monster attack, or tactic.	60W Spawn 70 -- Play a monster of level 70 or less.	 	R	3060
Arrow Crafting	Set4	arrowcrafting	Bowman	60	 	 	Tactic	Strategy	Reveal the top card of your deck. Do damage to a character or monster equal to that card's level rounded up to the nearest 10. Then put the card back.	30BB Improvise -- Discard a card from your hand. Then do 30 damage to a character or monster.	 	R	4001
Athena Pierce	Set4	athenapierce	Bowman	80	40	150	Monster	NPC Boss	70BBB Fatal Attack -- For each Bowman card under your character, do 20 damage to a character or monster.	 	 	R	4002
Athena's Death Arrow	Set4	athenasdeatharrow	Bowman	90	 	 	Tactic	Strategy	Do 100 damage to a character or monster. This damage can't be prevented.	OS: Athena Team Up -- Do 20 damage to a character or monster. If you're level 60 or more, you may play Athena Pierce.	 	R	4003
Heroic Pentagon	Set4	heroicpentagon	Bowman	40	 	 	Item	Jewelry	When you play Heroic Pentagon, draw a card. Whenever you would take 50 or more damage all at once, you may destroy Heroic Pentagon and prevent that damage.	60BB Tricky Shot -- Do 20 damage to a character or monster.	 	U	4004
Jr.Reaper	Set4	jrreaper	Bowman	10	 	 	Item	Pet Undead Spook	Hungry -- When your turn starts, put the top card of your deck face down under this Pet. (A Pet can have up to 3 cards under it.) Death Cord -- When Jr. Reaper has 3 cards under it, reveal them. Put any Spooks revealed this way into your hand and the others on the bottom of your deck in any order.	50B Spawn  70 -- Play a monster of level 70 or less.	 	R	4005
Killa Bee	Set4	killabee	Bowman	25	30	30	Monster	Flying Pest	 	40B Spawn / Equip 30 -- Play a monster or item of level 30 or less.	 	C	4006
Master Chronos	Set4	masterchronos	Bowman	46	30	40	Monster	Flying Undead Spook	Possess -- When you play Master Chronos, choose one of your opponent's monsters. That monster does damage equal to its attack to itself.	OS: Revive Spook -- Return a Spook from your discard pile to your hand.	 	U	4007
Mia	Set4	mia	Bowman	5	10	20	Monster	Human NPC	NPC Quest -- Mia or another of your monsters attacks. Reward -- You get +10 HP.	20BB Spawn 30 -- Play a monster of level 30 or less.	 	C	4008
Nightghost	Set4	nightghost	Bowman	60	40	30	Monster	Flying Undead Spook	Stealthy -- Monsters can't attack Nightghost.	70BB Think Fast 90 -- Play a tactic of level 90 or less.	 	C	4009
Spider Venom Earrings	Set4	spidervenomearrings	Bowman	15	 	 	Item	Jewelry	When your turn ends, do 10 damage to each monster you damaged this turn. Then do 10 damage to each character you damaged this turn.	50BB Equip 50 -- Play an item of level 50 or less.	 	U	4010
Squabble	Set4	squabble	Bowman	40	 	 	Tactic	Strategy	Choose 2 monsters. Each does damage equal to its attack to the other.	60BB Spawn / Think Fast 60 -- Play a monster or tactic of level 60 or less.	 	C	4011
War Bow	Set4	warbow	Bowman	10	 	 	Item	Weapon	Get +10 on damage you do with one of your character actions each turn.	20B Easy Shot -- Do 10 damage to a character or monster.	 	C	4012
Wonky	Set4	wonky	Bowman	40	20	40	Monster	Fairy NPC	NPC Quest -- Your opponent has no monsters when your turn ends. Reward -- Return a monster of level 30 or less from your discard pile to your hand.	30BBB Multi Spawn 30 -- Play any number of monsters with combined levels of 30 or less.	 	R	4013
Wooden Target Dummy	Set4	woodentargetdummy	Bowman	51	0	100	Monster	Dummy	Shield 100 -- Wooden Target Dummy prevents 100 damage to your character instead of 10. Immobile -- Wooden Target Dummy can't attack.	80B Spawn 100 -- Play a monster of level 100 or less.	 	U	4014
Zozo	Set4	zozo	Bowman	 	 	210	Character	Ranger	10 Quest -- Draw a card.	30B Weapon Expert -- Do 10 damage to a character or monster. If you have a Weapon, do 30 damage instead.	40BB Spawn / Equip 40 -- Play a monster or item of level 40 or less.	U	4015
Braddock	Set4	braddock	Magician	 	 	190	Character	Ice/Lightning Mage	10M Peer -- Look at the top card of your deck. Put it back on the top or the bottom of your deck.	10 Quest -- Draw a card.	50MM Spawn / Think Fast 50 -- Play a monster or tactic of level 50 or less.	U	4016
Buy and Sell	Set4	buyandsell	Magician	30	 	 	Tactic	Strategy	Choose a player. That player shuffles his or her hand into his or her deck, then draws the same number of cards plus one.	60MM Spawn / Equip 70 -- Play a monster or item of level '70 or less.	 	U	4017
Carta	Set4	carta	Magician	70	60	60	Monster	Human NPC	NPC Quest -- Damage your opponent's character. Reward -- Look at the top card of your deck. Put it back on the top or bottom of your deck.	OS: Amaze -- Name a card. Reveal the top card of your deck. If you named that card, put it into your hand and do 40 damage to a character or monster.	 	R	4018
Chain Lightning	Set4	chainlightning	Magician	60	 	 	Tactic	Skill	Choose 3 different characters and/or monsters. Do 60 damage to the first, then do 40 damage to the second, then do 20 damage to the third.	40MM Scorch -- Do 20 damage to a character.	 	U	4019
Cloto	Set4	cloto	Magician	20	20	20	Monster	Human NPC	NPC Quest -- You have Nella and Lakelis when your turn ends. Reward -- Search your deck for a Boss and play it. Then shuffle your deck.	30M Spawn 30 -- Play a monster of level 30 or less.	 	R	4020
Grendel the Really Old	Set4	grendelthereallyold	Magician	80	30	120	Monster	NPC Boss	70MM Research -- Draw a card.	80MMM Arcane Knowledge -- Play a tactic card from your discard pile. Then put it on the bottom of your deck.	 	R	4021
Grendel's Absorb	Set4	grendelsabsorb	Magician	80	 	 	Tactic	Strategy	If you have fewer cards in hand than your opponent, draw cards until you have the same number of cards as your opponent. Then your opponent chooses and discards as many cards from his or her hand you drew	OS: Grendel Team Up -- Draw a card. If you're level 60 or more, you may play Grendel the Really Old.	 	R	4022
Holy Arrow	Set4	holyarrow	Magician	10	 	 	Tactic	Skill	Do 30 damage to a character or monster. If that monster is Undead, destroy it.	70M Think Fast 90 -- Play a tactic of level 90 or less.	 	C	4023
Lakelis	Set4	lakelis	Magician	30	30	20	Monster	Human NPC	NPC Quest -- You have a boss when your turn ends. Reward -- Draw a card for each boss that each player has.	80M Spawn 100 -- Play a monster of level 100 or less.	 	U	4024
Mateon	Set4	mateon	Magician	41	10	40	Monster	Mechanical Alien	Genius -- When you play Mateon, draw a card.	OS: Quest -- Draw a card.	 	U	4025
Metal Wand	Set4	metalwand	Magician	18	 	 	Item	Wand	Whenever you play a tactic, do 10 damage to a character or monster.	40MM Think Fast / Equip 40 -- Play a tactic or item of level 40 or less.	 	C	4026
Nella	Set4	nella	Magician	10	10	20	Monster	Human NPC	NPC Quest -- You attack with Cloto or Lakelis. Reward -- Nella gets +20 attack this turn.	10M Buff a Friend -- One of your monsters that attacks this turn gets +10 attack until end of turn.	 	C	4027
Party Quest	Set4	partyquest	Magician	50	 	 	Tactic	Strategy	For each monster you have, draw a card.	OS: Quest -- Draw a card.	 	C	4028
Sand Dwarf	Set4	sanddwarf	Magician	32	30	40	Monster	Sand Dwarf	 	50MM Spawn / Think Fast 50 -- Play a monster or tactic of level 50 or less.	 	C	4029
Sera's Mirror	Set4	serasmirror	Magician	70	 	 	Item	Treasure	Whenever you play a card, you may destroy Sera's Mirror. If you do, search your deck for another card with that card's name and play it. Then shuffle your deck.	OS: Conjure -- Return another Magician card from under your character to your hand.	 	R	4030
Bone Fish	Set4	bonefish	Thief	92	120	120	Monster	Undead Fish	Confused -- Bone Fish can't attack on the turn you play it.	OS: Dazed -- On your opponent's next turn, all of his or her monsters are Confused.	 	R	4031
Boomer	Set4	boomer	Thief	27	30	20	Monster	Bomb	Short Fuse -- Whenever a monster damages Boomer, flip a coin. If you win, destroy that monster and Boomer.	80T Spawn 100 -- Play a monster of level 100 or less.	 	U	4032
Chipmunk	Set4	chipmunk	Thief	40	30	30	Monster	Pest	Loot -- If your opponent has 3 or more cards in hand, he or she chooses one and discards it.	OS: Loot -- If your opponent has 3 or more cards in hand, he or she chooses one and discards it.	 	C	4033
Cody	Set4	cody	Thief	10	20	10	Monster	Human NPC	NPC Quest -- Play at least one item on your turn. Reward -- On your opponent's next turn, all of your monsters are Tough.	20T Spawn 20 -- Play a monster of level 20 or less.	 	C	4034
Dark Lord	Set4	darklord	Thief	80	70	130	Monster	NPC Boss	60T Stealthy Blow -- Choose one: Do 40 damage to a character or your opponent discards a card at random from his or her hand.	90TTT Shadow Rip -- Destroy a monster or item.	 	R	4035
Dark Lord's Strike	Set4	darklordsstrike	Thief	50	 	 	Tactic	Strategy	Destroy a non-Boss monster. Then do damage equal to its attack to its player.	OS: Dark Lord Team Up -- Draw a card. Then discard a card from your hand. If you're level 60 or more, you may play Dark Lord.	 	R	4036
Death Teddy	Set4	deathteddy	Thief	85	80	80	Monster	Undead Toy Bear	Leader 20 -- Each of your other Toy, Bear, and Undead monsters gets +20 attack and +20 HP. Tough -- Character actions don't damage Death Teddy.	50TTT Spawn 60 -- Play a monster of level 60 or less.	 	R	4037
Diamond Dagger	Set4	diamonddagger	Thief	50	 	 	Item	Weapon	For each item you have, get +10 damage you do with one of your character actions each turn.	70T Equip 100 -- Play an item of level 100 or less.	 	R	4038
Eurek the Alchemist	Set4	eurekthealchemist	Thief	40	30	30	Monster	Human NPC	NPC Quest -- You have an item when your turn ends. Reward -- Do 30 damage to a character or monster.	40TTT Master Equip X -- Play an item of your level or less. If you have 4 or more items, do 30 damage to a character.	 	U	4039
Michi	Set4	michi	Thief	 		200	Character	Assassin	10T Stab -- Do 10 damage to a character or monster.	20 Quest -- Draw a card.	40TT Mixed Luck -- Flip a coin. If you win, choose an action under your character. When you would do that action this turn, you may do it 3 times instead.	U	4040
Mithril Wristband	Set4	mithrilwristband	Thief	20	 	 	Item	Jewelry	Whenever your opponent plays a tactic, get +30 HP.	30T Stab -- Do 10 damage to a character or monster.	 	U	4041
Moon Bunny	Set4	moonbunny	Thief	45	50	20	Monster	Rabbit	 	60TT Sneak 50 -- Play a card of level 50 or less.	 	C	4042
